semiengineering_url;startup_name;startup_country;startup_country_eu_grouped;crunchbase_startup_url;part_of_SNV_analysis;funding_round_id;crunchbase_funding_round_url;no_investors_per_funding_round;funding_amount_info;crunchbase_funding_round_announced_date;crunchbase_funding_stage;crunchbase_funding_type;crunchbase_investor_url;investor_name;crunchbase_investor_type;investor_country;investor_country_eu_grouped;money_raised_original_currency;money_raised_original_currency_minimum_estimate;money_raised_original_currency_maximum_estimate;investment_max_original_currency;investment_min_original_currency;investment_max_USD;investment_min_USD;date_for_currency_conversion
https://semiengineering.com/startup-funding-november-2022/;CooliBlade;Finland;EU;https://www.crunchbase.com/organization/cooliblade;no;CooliBladehttps://semiengineering.com/startup-funding-november-2022/;https://www.crunchbase.com/funding_round/cooliblade-seed--7289b393;1;disclosed;17.11.2022;Seed;Seed;https://www.crunchbase.com/organization/butterfly-ventures;Butterfly Ventures;Micro VC;Finland;EU;€820K;€820K;€820K;820000;820000;849626,6;849626,6;17.11.2022
https://semiengineering.com/startup-funding-november-2022/;WearOptimo;Australia;Australia;https://www.crunchbase.com/organization/wearoptimo;no;WearOptimohttps://semiengineering.com/startup-funding-november-2022/;https://www.crunchbase.com/funding_round/wearoptimo-undisclosed--21cad5f6;1;disclosed;10.11.2022;;Funding Round;;;;unknown;unknown;A$5M;A$5M;A$5M;5000000;5000000;3304325;3304325;10.11.2022
https://semiengineering.com/startup-funding-january-2021/;Quantum Computing Inc.;United States of America;United States of America;https://www.crunchbase.com/organization/quantum-computing;no;Quantum Computing Inc.https://semiengineering.com/startup-funding-january-2021/;https://www.crunchbase.com/funding_round/quantum-computing-series-a--971846b1;1;disclosed;05.01.2021;Early Stage Venture;Series A;;;;Taiwan;Taiwan;$3.2M;$3.2M;$3.2M;3200000;3200000;3200000;3200000;05.01.2021
https://semiengineering.com/startup-funding-may-2022/;Minus Zero;India;India;https://www.crunchbase.com/organization/minus-zero;no;Minus Zerohttps://semiengineering.com/startup-funding-may-2022/;https://www.crunchbase.com/funding_round/minus-zero-seed--2869ff0b;2;disclosed;23.05.2022;Seed;Seed;https://www.crunchbase.com/organization/idg-ventures;Chiratae Ventures;Corporate Venture Capital;India;India;$1.7M;$1.7M;$1.7M;1700000;1700000;1700000;1700000;23.05.2022
https://semiengineering.com/startup-funding-may-2022/;Minus Zero;India;India;https://www.crunchbase.com/organization/minus-zero;no;Minus Zerohttps://semiengineering.com/startup-funding-may-2022/;https://www.crunchbase.com/funding_round/minus-zero-seed--2869ff0b;2;disclosed;23.05.2022;Seed;Seed;https://www.crunchbase.com/organization/jito-angel-network;JITO Angel Network;Angel Group;India;India;$1.7M;$1.7M;$1.7M;1700000;1700000;1700000;1700000;23.05.2022
https://semiengineering.com/startup-funding-april-2020/;Inceptio Technology;China;China;https://www.crunchbase.com/organization/inceptio-technology;no;Inceptio Technologyhttps://semiengineering.com/startup-funding-april-2020/;https://www.crunchbase.com/funding_round/inceptio-technology-series-a--e32fb820;2;disclosed;27.04.2020;Early Stage Venture;Series A;https://www.crunchbase.com/organization/g7;G7;;China (incl. Hong Kong);China (incl. Hong Kong);$100M;$100M;$100M;100000000;100000000;100000000;100000000;27.04.2020
https://semiengineering.com/startup-funding-april-2020/;Inceptio Technology;China;China;https://www.crunchbase.com/organization/inceptio-technology;no;Inceptio Technologyhttps://semiengineering.com/startup-funding-april-2020/;https://www.crunchbase.com/funding_round/inceptio-technology-series-a--e32fb820;2;disclosed;27.04.2020;Early Stage Venture;Series A;https://www.crunchbase.com/organization/global-logistic-properties;GLP;Private Equity Firm;Singapore;Singapore;$100M;$100M;$100M;100000000;100000000;100000000;100000000;27.04.2020
https://semiengineering.com/startup-funding-february-2021/;Pony.ai;United States of America;United States of America;https://www.crunchbase.com/organization/pony-ai;no;Pony.aihttps://semiengineering.com/startup-funding-february-2021/;https://www.crunchbase.com/funding_round/pony-ai-series-c--53adc6d0;7;disclosed;08.02.2021;Late Stage Venture;Series C;https://www.crunchbase.com/organization/brunei-investment-agency;Brunei Investment Agency;Government Office;Brunei;Brunei;$100M;$100M;$100M;100000000;100000000;100000000;100000000;08.02.2021
https://semiengineering.com/startup-funding-february-2021/;Pony.ai;United States of America;United States of America;https://www.crunchbase.com/organization/pony-ai;no;Pony.aihttps://semiengineering.com/startup-funding-february-2021/;https://www.crunchbase.com/funding_round/pony-ai-series-c--53adc6d0;7;disclosed;08.02.2021;Late Stage Venture;Series C;https://www.crunchbase.com/organization/ontario-teachers-pension-plan;Ontario Teachers' Pension Plan;Fund Of Funds;Canada;Canada;$100M;$100M;$100M;100000000;100000000;100000000;100000000;08.02.2021
https://semiengineering.com/startup-funding-february-2021/;Pony.ai;United States of America;United States of America;https://www.crunchbase.com/organization/pony-ai;no;Pony.aihttps://semiengineering.com/startup-funding-february-2021/;https://www.crunchbase.com/funding_round/pony-ai-series-c--53adc6d0;7;disclosed;08.02.2021;Late Stage Venture;Series C;https://www.crunchbase.com/organization/citic-pe;CPE;Private Equity Firm;China (incl. Hong Kong);China (incl. Hong Kong);$100M;$100M;$100M;100000000;100000000;100000000;100000000;08.02.2021
